ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_over_error,ang_sep
40.63452277934334,42.818294569528355,14.636161,15.263129,13.86265,1.949382350088715,54.207516,0.1008351489467131
40.401120316833875,42.81175540648713,17.972086,19.136826,16.90627,1.5588540648531315,8.458551,0.10109349155543755
40.527068980957225,42.660325253552614,17.061451,18.157543,16.03499,2.026625912680906,18.277733,0.10147934589330722
40.56373715435588,42.858418100648436,19.76205,21.059746,18.460619,2.068674895371622,3.2940054,0.10171817238176771
40.3831568859445,42.74437580101534,19.792952,21.165749,18.45345,2.500701918461551,4.3992457,0.10254348198326527
40.51063445765036,42.864295739971595,14.890086,15.442811,14.19378,1.961142513466662,62.717686,0.10286639666912341
40.45501342313361,42.669492097664104,19.135178,20.363548,17.935894,1.7647440987428655,4.839111,0.10410861303524517
40.640087253700905,42.820041744249714,15.969096,16.792377,15.07621,2.0886946558825414,39.727055,0.1051977907994236
40.37857184728281,42.744519490257,16.821737,18.085573,15.7114315,3.048498583697102,37.707687,0.10583980700595441
40.66497019719293,42.76571018681931,19.651539,,,2.3966008565045764,3.7470782,0.10591993747496557
40.39533972358539,42.814636245902065,17.858034,19.160528,16.742281,2.0001651663144497,11.6668625,0.1062045820132888
40.46089343178636,42.8591844392547,18.031294,18.114195,16.487587,3.253185460149143,14.106432,0.10693280586316667
40.45410405733164,42.66657495843603,15.518015,16.183088,14.72737,1.9765260294498104,37.847313,0.10700573875509677
40.65797644063832,42.79957835592951,19.243225,20.53394,17.95509,1.476415048969385,3.4756377,0.10757146136121008
40.43330728521889,42.67541355704559,15.080055,15.843849,14.236669,2.5698878541022645,65.782005,0.10759797255486224
40.46180657109045,42.860536691011944,11.421782,11.598321,11.117102,2.0781542410329545,67.4087,0.10789637827186693
40.495180209923966,42.654841114896264,11.405555,11.574169,11.109081,2.2065366523313066,19.8189,0.10850453247218406
40.56015680236362,42.866451384225016,9.309498,9.3275585,9.261291,1.9770610709451797,46.24882,0.10865711415434805
40.37334127654827,42.74080403144534,17.755936,19.067194,16.664845,2.1226109244189657,14.485254,0.11027788613411882
40.555641067896524,42.65384872570982,19.290148,20.774176,18.076124,2.468393296024787,6.077901,0.11084836141786651
40.369680530339906,42.76922449707415,19.43527,20.805237,18.197874,1.8929262862961667,4.1512647,0.11119760124175218
40.657819353205326,42.713643859699786,12.237067,12.510061,11.785768,1.886488773218933,31.933586,0.11152163172886446
40.635417748957636,42.68831077360368,18.027266,19.59718,16.784832,2.0700154466316367,11.400687,0.1116945335676573
40.399812765894964,42.829811748385836,19.313961,20.81621,18.066967,1.7404073524930495,3.577552,0.11189613595466735
40.611260754571035,42.67140009848878,16.814905,17.919641,15.757752,1.9884605673405693,23.89726,0.11212237184677945
40.39277368737809,42.699964190101646,12.933773,13.342273,12.363205,2.1039995224855867,100.56734,0.11249507275996751
40.671125838562496,42.73949049313973,17.690855,18.926714,16.60849,2.1883798396146266,15.771766,0.11259865450394839
40.625818333448066,42.679466836758984,13.985627,14.410784,13.385874,1.946595812101801,49.89045,0.11276087722688906
40.674262931046705,42.767139936633754,17.368011,18.580423,16.248472,2.148217840176756,13.344009,0.11279630303096737
40.389319024244394,42.70326409926789,13.746868,14.142413,13.188161,2.031495719652659,95.34662,0.11287964028803937
40.66553554377875,42.72056657863866,18.30379,20.016096,17.055883,2.0953070236093656,9.155368,0.11397881317903999
40.45730590333167,42.65676595506943,17.019224,17.906546,16.09081,1.566370807447378,15.30887,0.11483864808517291
40.383647514732196,42.70466292574871,18.225126,19.713383,17.053684,1.6190555303508796,8.206712,0.11576730379576813
40.402558377847775,42.83888567505034,14.130761,14.576566,13.4912,1.9399014929282972,79.958626,0.11612234915205266
40.529821530317754,42.64563884219964,18.244394,19.725744,16.992523,2.174931850073794,8.097372,0.1162503536378038
40.604451607808414,42.66224911902308,20.336304,21.06688,19.030977,2.8109928709854515,3.8678687,0.11691198255784789
40.5341246259328,42.64499003300484,12.971771,13.291711,12.485286,2.0645226071584206,28.904055,0.11712001647603511
40.415105676924505,42.673962806948076,20.223076,20.960533,18.971045,2.8760552839040727,3.1292944,0.11716634401076707
40.681954732982994,42.761591467386985,19.195238,20.358147,17.545094,3.233259899412614,3.071663,0.11831734267296674
40.66075379710537,42.702954113826515,18.74524,20.144094,17.558468,2.321781188849924,8.629295,0.11840194544505958
40.3968953736684,42.684000152082525,14.321411,14.797927,13.683742,1.9572243866674708,34.76729,0.11967855563081664
40.680908973006424,42.73621432843391,19.040335,20.65312,17.84948,1.9395907433225228,6.2634735,0.12030405701924331
40.363257293391,42.72835669223199,14.852352,15.325024,14.218087,1.5747065376408407,46.09823,0.12040529856148473
40.62747482145927,42.854530422539085,14.405544,14.91328,13.744552,2.249168567229358,90.90986,0.12141724030494924
40.66929872948056,42.81543482752933,17.59928,18.781742,16.504911,1.8270679712653308,14.396877,0.12150575325690564
40.51311573315672,42.63985835034753,16.644217,17.43989,15.785266,1.5315481659707586,16.390192,0.12197244982637871
40.45013649550773,42.65103764939528,12.771561,13.085394,12.303562,1.971700558893288,73.57385,0.12223949754050804
40.560861133014456,42.88051214922502,10.44263,10.52837,10.27644,1.9367954030618282,79.068375,0.12239177410434994
40.48307381377841,42.88177297617389,17.083916,18.031029,16.109068,1.6727670776297596,19.44829,0.12322016288436115
40.568643244522264,42.88002937626086,11.40387,11.587674,11.090563,2.1007874806424,29.696243,0.12342325796054827
